Interval=	0.001 s
ExcelDateTime=	4.3735398023912865e+004	9/27/2019 9:33:09.266072
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
1.829	1.129375
1.83	1.135625
1.831	1.14125
1.832	1.1475
1.833	1.153125
1.834	1.159375
1.835	1.165
1.836	1.17125
1.837	1.176875
1.838	1.1825
1.839	1.188125
1.84	1.194375
1.841	1.199375
1.842	1.205625
1.843	1.21125
1.844	1.216875
1.845	1.221875
1.846	1.2275
1.847	1.2325
1.848	1.2375
1.849	1.243125
1.85	1.248125
1.851	1.253125
1.852	1.2575
1.853	1.2625
1.854	1.266875
1.855	1.27125
1.856	1.275
1.857	1.28
1.858	1.284375
1.859	1.288125
1.86	1.293125
1.861	1.296875
1.862	1.30125
1.863	1.305625
1.864	1.31
1.865	1.31375
1.866	1.318125
1.867	1.3225
1.868	1.326875
1.869	1.33125
1.87	1.335625
1.871	1.34
1.872	1.344375
1.873	1.34875
1.874	1.353125
1.875	1.3575
1.876	1.361875
1.877	1.36625
1.878	1.370625
1.879	1.375
1.88	1.379375
1.881	1.38375
1.882	1.388125
1.883	1.3925
1.884	1.396875
1.885	1.40125
1.886	1.405
1.887	1.40875
1.888	1.413125
1.889	1.4175
1.89	1.420625
1.891	1.424375
1.892	1.4275
1.893	1.430625
1.894	1.43375
1.895	1.43625
1.896	1.439375
1.897	1.441875
1.898	1.445
1.899	1.4475
1.9	1.45
1.901	1.453125
1.902	1.455625
1.903	1.458125
1.904	1.46
1.905	1.4625
1.906	1.465
1.907	1.4675
1.908	1.47
1.909	1.4725
1.91	1.475
1.911	1.4775
1.912	1.480625
1.913	1.483125
1.914	1.485625
1.915	1.4875
1.916	1.49
1.917	1.4925
1.918	1.494375
1.919	1.496875
1.92	1.499375
1.921	1.50125
1.922	1.50375
1.923	1.50625
1.924	1.50875
1.925	1.51125
1.926	1.51375
1.927	1.515625
1.928	1.5175
1.929	1.519375
1.93	1.52125
1.931	1.523125
1.932	1.524375
1.933	1.525625
1.934	1.5275
1.935	1.52875
1.936	1.530625
1.937	1.53125
1.938	1.5325
1.939	1.53375
1.94	1.534375
1.941	1.535
1.942	1.53625
1.943	1.5375
1.944	1.538125
1.945	1.54
1.946	1.54125
1.947	1.543125
1.948	1.545
1.949	1.546875
1.95	1.54875
1.951	1.550625
1.952	1.5525
1.953	1.554375
1.954	1.55625
1.955	1.5575
1.956	1.559375
1.957	1.560625
1.958	1.5625
1.959	1.56375
1.96	1.564375
1.961	1.565625
1.962	1.56625
1.963	1.566875
1.964	1.5675
1.965	1.568125
1.966	1.56875
1.967	1.56875
1.968	1.56875
1.969	1.569375
1.97	1.57
1.971	1.57
1.972	1.57125
1.973	1.57125
1.974	1.571875
1.975	1.573125
1.976	1.57375
1.977	1.574375
1.978	1.575
1.979	1.576875
1.98	1.5775
1.981	1.578125
1.982	1.58
1.983	1.580625
1.984	1.5825
1.985	1.583125
1.986	1.584375
1.987	1.585
1.988	1.58625
1.989	1.586875
1.99	1.5875
1.991	1.588125
1.992	1.588125
1.993	1.588125
1.994	1.588125
1.995	1.588125
1.996	1.588125
1.997	1.588125
1.998	1.588125
1.999	1.588125
2	1.5875
2.001	1.5875
2.002	1.588125
2.003	1.588125
2.004	1.588125
2.005	1.588125
2.006	1.58875
2.007	1.589375
2.008	1.59
2.009	1.590625
2.01	1.591875
2.011	1.5925
2.012	1.593125
2.013	1.59375
2.014	1.595
2.015	1.595
2.016	1.59625
2.017	1.59625
2.018	1.596875
2.019	1.596875
2.02	1.5975
2.021	1.5975
2.022	1.5975
2.023	1.5975
2.024	1.598125
2.025	1.598125
2.026	1.598125
2.027	1.598125
2.028	1.598125
2.029	1.59875
2.03	1.59875
2.031	1.598125
2.032	1.598125
2.033	1.598125
2.034	1.598125
2.035	1.598125
2.036	1.5975
2.037	1.5975
2.038	1.596875
2.039	1.59625
2.04	1.59625
2.041	1.595
2.042	1.595
2.043	1.59375
2.044	1.593125
2.045	1.593125
2.046	1.591875
2.047	1.591875
2.048	1.59125
2.049	1.590625
2.05	1.590625
2.051	1.59
2.052	1.59
2.053	1.59
2.054	1.589375
2.055	1.589375
2.056	1.589375
2.057	1.589375
2.058	1.589375
2.059	1.589375
2.06	1.589375
2.061	1.589375
2.062	1.589375
2.063	1.58875
2.064	1.58875
2.065	1.58875
2.066	1.58875
2.067	1.588125
2.068	1.588125
