Interval=	0.001 s
ExcelDateTime=	4.1949660795945041e+004	11/6/2014 15:51:32.769652
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.487	-2.361	0.000
0.488	-2.367	0.000
0.489	-2.374	0.000
0.49	-2.379	0.000
0.491	-2.384	0.000
0.492	-2.388	0.000
0.493	-2.389	0.000
0.494	-2.387	0.000
0.495	-2.384	0.000
0.496	-2.379	0.000
0.497	-2.372	0.000
0.498	-2.366	0.000
0.499	-2.361	0.000
0.5	-2.357	0.000
0.501	-2.356	0.000
0.502	-2.356	0.000
0.503	-2.359	0.000
0.504	-2.365	0.000
0.505	-2.371	0.000
0.506	-2.378	0.000
0.507	-2.384	0.000
0.508	-2.389	0.000
0.509	-2.392	0.000
0.51	-2.393	0.000
0.511	-2.391	0.000
0.512	-2.386	0.000
0.513	-2.381	0.000
0.514	-2.374	0.000
0.515	-2.368	0.000
0.516	-2.363	0.000
0.517	-2.360	0.000
0.518	-2.359	0.000
0.519	-2.361	0.000
0.52	-2.364	0.000
0.521	-2.369	0.000
0.522	-2.376	0.000
0.523	-2.382	0.000
0.524	-2.388	0.000
0.525	-2.392	0.000
0.526	-2.394	0.000
0.527	-2.393	0.000
0.528	-2.391	0.000
0.529	-2.386	0.000
0.53	-2.380	0.000
0.531	-2.374	0.000
0.532	-2.368	0.000
0.533	-2.364	0.000
0.534	-2.362	0.000
0.535	-2.361	0.000
0.536	-2.363	0.000
0.537	-2.368	0.000
0.538	-2.373	0.000
0.539	-2.379	0.000
0.54	-2.385	0.000
0.541	-2.390	0.000
0.542	-2.393	0.000
0.543	-2.394	0.000
0.544	-2.392	0.000
0.545	-2.388	0.000
0.546	-2.382	0.000
0.547	-2.377	0.000
0.548	-2.370	0.000
0.549	-2.365	0.000
0.55	-2.361	0.000
0.551	-2.359	0.000
0.552	-2.360	0.000
0.553	-2.363	0.000
0.554	-2.368	0.000
0.555	-2.374	0.000
0.556	-2.379	0.000
0.557	-2.386	0.000
0.558	-2.390	0.000
0.559	-2.393	0.000
0.56	-2.393	0.000
0.561	-2.391	0.000
0.562	-2.388	0.000
0.563	-2.383	0.000
0.564	-2.377	0.000
0.565	-2.372	0.000
0.566	-2.368	0.000
0.567	-2.364	0.000
0.568	-2.364	0.000
0.569	-2.366	0.000
0.57	-2.369	0.000
0.571	-2.374	0.000
0.572	-2.380	0.000
0.573	-2.386	0.000
0.574	-2.391	0.000
0.575	-2.394	0.000
0.576	-2.396	0.000
0.577	-2.395	0.000
0.578	-2.392	0.000
0.579	-2.387	0.000
0.58	-2.381	0.000
0.581	-2.374	0.000
0.582	-2.369	0.000
0.583	-2.364	0.000
0.584	-2.361	0.000
0.585	-2.361	0.000
0.586	-2.363	0.000
0.587	-2.367	0.000
0.588	-2.372	0.000
0.589	-2.377	0.000
0.59	-2.384	0.000
0.591	-2.389	0.000
0.592	-2.391	0.000
0.593	-2.393	0.000
0.594	-2.391	0.000
0.595	-2.388	0.000
0.596	-2.382	0.000
0.597	-2.377	0.000
0.598	-2.371	0.000
0.599	-2.366	0.000
0.6	-2.363	0.000
0.601	-2.361	0.000
0.602	-2.361	0.000
0.603	-2.363	0.000
0.604	-2.368	0.000
0.605	-2.373	0.000
0.606	-2.378	0.000
0.607	-2.383	0.000
0.608	-2.387	0.000
0.609	-2.389	0.000
0.61	-2.389	0.000
0.611	-2.388	0.000
0.612	-2.383	0.000
0.613	-2.378	0.000
0.614	-2.373	0.000
0.615	-2.367	0.000
0.616	-2.362	0.000
0.617	-2.359	0.000
0.618	-2.359	0.000
0.619	-2.360	0.000
0.62	-2.364	0.000
0.621	-2.369	0.000
0.622	-2.374	0.000
0.623	-2.381	0.000
0.624	-2.386	0.000
0.625	-2.390	0.000
0.626	-2.392	0.000
0.627	-2.391	0.000
0.628	-2.389	0.000
0.629	-2.384	0.000
0.63	-2.379	0.000
0.631	-2.374	0.000
0.632	-2.368	0.000
0.633	-2.364	0.000
0.634	-2.362	0.000
0.635	-2.361	0.000
0.636	-2.363	0.000
0.637	-2.366	0.000
0.638	-2.371	0.000
0.639	-2.377	0.000
0.64	-2.382	0.000
0.641	-2.387	0.000
0.642	-2.389	0.000
0.643	-2.390	0.000
0.644	-2.389	0.000
0.645	-2.386	0.000
0.646	-2.381	0.000
0.647	-2.376	0.000
0.648	-2.371	0.000
0.649	-2.366	0.000
0.65	-2.363	0.000
0.651	-2.362	0.000
0.652	-2.363	0.000
0.653	-2.365	0.000
0.654	-2.370	0.000
0.655	-2.376	0.000
0.656	-2.382	0.000
0.657	-2.387	0.000
0.658	-2.391	0.000
0.659	-2.394	0.000
0.66	-2.394	0.000
0.661	-2.392	0.000
0.662	-2.388	0.000
0.663	-2.383	0.000
0.664	-2.377	0.000
0.665	-2.372	0.000
0.666	-2.368	0.000
0.667	-2.364	0.000
0.668	-2.363	0.000
0.669	-2.364	0.000
0.67	-2.368	0.000
0.671	-2.372	0.000
0.672	-2.377	0.000
0.673	-2.383	0.000
0.674	-2.388	0.000
0.675	-2.391	0.000
0.676	-2.393	0.000
0.677	-2.393	0.000
0.678	-2.391	0.000
0.679	-2.388	0.000
0.68	-2.383	0.000
0.681	-2.378	0.000
0.682	-2.373	0.000
0.683	-2.370	0.000
0.684	-2.368	0.000
0.685	-2.368	0.000
0.686	-2.371	0.000
0.687	-2.374	0.000
0.688	-2.379	0.000
0.689	-2.384	0.000
0.69	-2.390	0.000
0.691	-2.394	0.000
0.692	-2.397	0.000
0.693	-2.398	0.000
0.694	-2.397	0.000
0.695	-2.394	0.000
0.696	-2.389	0.000
0.697	-2.384	0.000
0.698	-2.378	0.000
0.699	-2.373	0.000
0.7	-2.370	0.000
0.701	-2.368	0.000
0.702	-2.368	0.000
0.703	-2.371	0.000
0.704	-2.375	0.000
0.705	-2.380	0.000
0.706	-2.386	0.000
0.707	-2.391	0.000
0.708	-2.394	0.000
0.709	-2.397	0.000
0.71	-2.397	0.000
0.711	-2.395	0.000
0.712	-2.391	0.000
0.713	-2.386	0.000
0.714	-2.381	0.000
0.715	-2.376	0.000
0.716	-2.371	0.000
0.717	-2.368	0.000
0.718	-2.367	0.000
0.719	-2.368	0.000
0.72	-2.370	0.000
0.721	-2.374	0.000
0.722	-2.379	0.000
0.723	-2.384	0.000
0.724	-2.388	0.000
0.725	-2.391	0.000
0.726	-2.393	0.000
0.727	-2.393	0.000
0.728	-2.390	0.000
0.729	-2.386	0.000
0.73	-2.381	0.000
0.731	-2.376	0.000
0.732	-2.371	0.000
0.733	-2.368	0.000
0.734	-2.366	0.000
0.735	-2.366	0.000
0.736	-2.368	0.000
0.737	-2.371	0.000
0.738	-2.376	0.000
0.739	-2.382	0.000
0.74	-2.387	0.000
0.741	-2.391	0.000
0.742	-2.394	0.000
0.743	-2.396	0.000
0.744	-2.394	0.000
0.745	-2.392	0.000
0.746	-2.388	0.000
0.747	-2.382	0.000
0.748	-2.377	0.000
0.749	-2.373	0.000
0.75	-2.369	0.000
0.751	-2.368	0.000
0.752	-2.368	0.000
0.753	-2.371	0.000
0.754	-2.374	0.000
0.755	-2.379	0.000
0.756	-2.384	0.000
0.757	-2.389	0.000
0.758	-2.394	0.000
0.759	-2.396	0.000
0.76	-2.396	0.000
0.761	-2.396	0.000
0.762	-2.393	0.000
0.763	-2.389	0.000
0.764	-2.384	0.000
0.765	-2.381	0.000
0.766	-2.377	0.000
0.767	-2.374	0.000
0.768	-2.374	0.000
0.769	-2.376	0.000
0.77	-2.379	0.000
0.771	-2.383	0.000
0.772	-2.388	0.000
0.773	-2.393	0.000
0.774	-2.398	0.000
0.775	-2.401	0.000
0.776	-2.402	0.000
0.777	-2.402	0.000
0.778	-2.399	0.000
0.779	-2.395	0.000
0.78	-2.390	0.000
0.781	-2.385	0.000
0.782	-2.379	0.000
0.783	-2.376	0.000
0.784	-2.373	0.000
0.785	-2.373	0.000
0.786	-2.374	0.000
0.787	-2.377	0.000
0.788	-2.381	0.000
0.789	-2.386	0.000
0.79	-2.391	0.000
0.791	-2.395	0.000
0.792	-2.398	0.000
0.793	-2.398	0.000
0.794	-2.398	0.000
0.795	-2.395	0.000
0.796	-2.391	0.000
0.797	-2.386	0.000
0.798	-2.381	0.000
0.799	-2.377	0.000
0.8	-2.374	0.000
0.801	-2.373	0.000
0.802	-2.373	0.000
0.803	-2.374	0.000
0.804	-2.377	0.000
0.805	-2.382	0.000
0.806	-2.387	0.000
0.807	-2.391	0.000
0.808	-2.395	0.000
0.809	-2.397	0.000
0.81	-2.398	0.000
0.811	-2.396	0.000
0.812	-2.394	0.000
0.813	-2.389	0.000
0.814	-2.385	0.000
0.815	-2.381	0.000
0.816	-2.377	0.000
0.817	-2.376	0.000
0.818	-2.376	0.000
0.819	-2.377	0.000
0.82	-2.380	0.000
0.821	-2.384	0.000
0.822	-2.389	0.000
0.823	-2.394	0.000
0.824	-2.399	0.000
0.825	-2.402	0.000
0.826	-2.404	0.000
0.827	-2.404	0.000
0.828	-2.401	0.000
0.829	-2.398	0.000
0.83	-2.393	0.000
0.831	-2.388	0.000
0.832	-2.383	0.000
0.833	-2.380	0.000
0.834	-2.377	0.000
0.835	-2.377	0.000
0.836	-2.378	0.000
0.837	-2.381	0.000
0.838	-2.385	0.000
0.839	-2.389	0.000
0.84	-2.394	0.000
0.841	-2.398	0.000
0.842	-2.400	0.000
0.843	-2.401	0.000
0.844	-2.400	0.000
0.845	-2.398	0.000
0.846	-2.394	0.000
0.847	-2.390	0.000
0.848	-2.386	0.000
0.849	-2.381	0.000
0.85	-2.379	0.000
0.851	-2.377	0.000
0.852	-2.377	0.000
0.853	-2.379	0.000
0.854	-2.382	0.000
0.855	-2.387	0.000
0.856	-2.391	0.000
0.857	-2.396	0.000
0.858	-2.399	0.000
0.859	-2.401	0.000
0.86	-2.400	0.000
0.861	-2.398	0.000
0.862	-2.395	0.000
0.863	-2.391	0.000
0.864	-2.386	0.000
0.865	-2.381	0.000
0.866	-2.377	0.000
0.867	-2.374	0.000
0.868	-2.373	0.000
0.869	-2.374	0.000
0.87	-2.376	0.000
0.871	-2.379	0.000
0.872	-2.384	0.000
0.873	-2.389	0.000
0.874	-2.393	0.000
0.875	-2.396	0.000
0.876	-2.398	0.000
0.877	-2.398	0.000
0.878	-2.396	0.000
0.879	-2.393	0.000
0.88	-2.389	0.000
0.881	-2.384	0.000
0.882	-2.380	0.000
0.883	-2.377	0.000
0.884	-2.375	0.000
0.885	-2.374	0.000
0.886	-2.376	0.000
0.887	-2.378	0.000
0.888	-2.382	0.000
0.889	-2.386	0.000
0.89	-2.390	0.000
0.891	-2.393	0.000
0.892	-2.395	0.000
0.893	-2.396	0.000
0.894	-2.395	0.000
0.895	-2.392	0.000
0.896	-2.389	0.000
0.897	-2.384	0.000
0.898	-2.380	0.000
0.899	-2.376	0.000
0.9	-2.373	0.000
0.901	-2.371	0.000
0.902	-2.372	0.000
0.903	-2.374	0.000
0.904	-2.377	0.000
0.905	-2.381	0.000
0.906	-2.386	0.000
0.907	-2.389	0.000
0.908	-2.392	0.000
0.909	-2.394	0.000
0.91	-2.394	0.000
0.911	-2.392	0.000
0.912	-2.389	0.000
0.913	-2.384	0.000
0.914	-2.379	0.000
0.915	-2.374	0.000
0.916	-2.370	0.000
0.917	-2.367	0.000
0.918	-2.366	0.000
0.919	-2.366	0.000
0.92	-2.368	0.000
0.921	-2.370	0.000
0.922	-2.374	0.000
0.923	-2.378	0.000
0.924	-2.382	0.000
0.925	-2.384	0.000
0.926	-2.385	0.000
0.927	-2.384	0.000
0.928	-2.382	0.000
0.929	-2.378	0.000
0.93	-2.374	0.000
0.931	-2.369	0.000
0.932	-2.364	0.000
0.933	-2.361	0.000
0.934	-2.359	0.000
0.935	-2.357	0.000
0.936	-2.358	0.000
0.937	-2.360	0.000
0.938	-2.363	0.000
0.939	-2.367	0.000
0.94	-2.370	0.000
0.941	-2.373	0.000
0.942	-2.374	0.000
0.943	-2.375	0.000
0.944	-2.374	0.000
0.945	-2.371	0.000
0.946	-2.368	0.000
0.947	-2.364	0.000
0.948	-2.359	0.000
0.949	-2.356	0.000
0.95	-2.353	0.000
0.951	-2.352	0.000
0.952	-2.353	0.000
0.953	-2.354	0.000
0.954	-2.358	0.000
0.955	-2.363	0.000
0.956	-2.367	0.000
0.957	-2.371	0.000
0.958	-2.374	0.000
0.959	-2.377	0.000
0.96	-2.377	0.000
0.961	-2.376	0.000
0.962	-2.374	0.000
0.963	-2.369	0.000
0.964	-2.366	0.000
0.965	-2.361	0.000
0.966	-2.357	0.000
0.967	-2.355	0.000
0.968	-2.354	0.000
0.969	-2.355	0.000
0.97	-2.357	0.000
0.971	-2.360	0.000
0.972	-2.364	0.000
0.973	-2.369	0.000
0.974	-2.373	0.000
0.975	-2.376	0.000
0.976	-2.377	0.000
0.977	-2.377	0.000
0.978	-2.377	0.000
0.979	-2.374	0.000
0.98	-2.371	0.000
0.981	-2.368	0.000
0.982	-2.364	0.000
0.983	-2.363	0.000
0.984	-2.361	0.000
0.985	-2.361	0.000
0.986	-2.363	0.000
0.987	-2.366	0.000
0.988	-2.369	0.000
0.989	-2.373	0.000
0.99	-2.377	0.000
0.991	-2.380	0.000
0.992	-2.382	0.000
0.993	-2.382	0.000
0.994	-2.382	0.000
0.995	-2.379	0.000
0.996	-2.375	0.000
0.997	-2.371	0.000
0.998	-2.366	0.000
0.999	-2.363	0.000
1	-2.359	0.000
1.001	-2.357	0.000
1.002	-2.357	0.000
1.003	-2.359	0.000
1.004	-2.363	0.000
1.005	-2.366	0.000
1.006	-2.370	0.000
1.007	-2.374	0.000
1.008	-2.377	0.000
1.009	-2.379	0.000
1.01	-2.379	0.000
1.011	-2.378	0.000
1.012	-2.376	0.000
1.013	-2.372	0.000
1.014	-2.368	0.000
1.015	-2.364	0.000
1.016	-2.361	0.000
1.017	-2.358	0.000
1.018	-2.357	0.000
1.019	-2.357	0.000
1.02	-2.359	0.000
1.021	-2.361	0.000
1.022	-2.364	0.000
1.023	-2.368	0.000
1.024	-2.371	0.000
1.025	-2.374	0.000
1.026	-2.374	0.000
1.027	-2.374	0.000
1.028	-2.373	0.000
1.029	-2.369	0.000
1.03	-2.366	0.000
1.031	-2.362	0.000
1.032	-2.359	0.000
1.033	-2.356	0.000
1.034	-2.354	0.000
1.035	-2.354	0.000
1.036	-2.356	0.000
1.037	-2.359	0.000
1.038	-2.363	0.000
1.039	-2.367	0.000
1.04	-2.371	0.000
1.041	-2.374	0.000
1.042	-2.377	0.000
1.043	-2.378	0.000
1.044	-2.378	0.000
1.045	-2.376	0.000
1.046	-2.373	0.000
1.047	-2.368	0.000
1.048	-2.365	0.000
1.049	-2.361	0.000
1.05	-2.358	0.000
1.051	-2.357	0.000
1.052	-2.357	0.000
1.053	-2.358	0.000
1.054	-2.361	0.000
1.055	-2.364	0.000
1.056	-2.368	0.000
1.057	-2.371	0.000
1.058	-2.374	0.000
1.059	-2.376	0.000
1.06	-2.376	0.000
1.061	-2.375	0.000
1.062	-2.373	0.000
1.063	-2.369	0.000
1.064	-2.366	0.000
1.065	-2.363	0.000
1.066	-2.359	0.000
1.067	-2.357	0.000
1.068	-2.356	0.000
1.069	-2.357	0.000
1.07	-2.359	0.000
1.071	-2.361	0.000
1.072	-2.364	0.000
1.073	-2.368	0.000
1.074	-2.371	0.000
1.075	-2.373	0.000
1.076	-2.373	0.000
1.077	-2.373	0.000
1.078	-2.371	0.000
1.079	-2.368	0.000
1.08	-2.363	0.000
1.081	-2.359	0.000
1.082	-2.354	0.000
1.083	-2.351	0.000
1.084	-2.349	0.000
1.085	-2.348	0.000
1.086	-2.349	0.000
1.087	-2.351	0.000
1.088	-2.354	0.000
1.089	-2.358	0.000
1.09	-2.362	0.000
1.091	-2.366	0.000
1.092	-2.368	0.000
1.093	-2.369	0.000
1.094	-2.369	0.000
1.095	-2.368	0.000
1.096	-2.365	0.000
1.097	-2.362	0.000
1.098	-2.359	0.000
1.099	-2.356	0.000
1.1	-2.354	0.000
1.101	-2.353	0.000
1.102	-2.353	0.000
1.103	-2.356	0.000
1.104	-2.359	0.000
1.105	-2.362	0.000
1.106	-2.366	0.000
1.107	-2.370	0.000
1.108	-2.373	0.000
1.109	-2.376	0.000
1.11	-2.376	0.000
1.111	-2.376	0.000
1.112	-2.375	0.000
1.113	-2.373	0.000
1.114	-2.369	0.000
1.115	-2.367	0.000
1.116	-2.364	0.000
1.117	-2.363	0.000
1.118	-2.363	0.000
1.119	-2.364	0.000
1.12	-2.366	0.000
1.121	-2.370	0.000
1.122	-2.374	0.000
1.123	-2.378	0.000
1.124	-2.381	0.000
1.125	-2.384	0.000
1.126	-2.386	0.000
1.127	-2.386	0.000
1.128	-2.384	0.000
1.129	-2.381	0.000
1.13	-2.377	0.000
1.131	-2.374	0.000
1.132	-2.371	0.000
1.133	-2.368	0.000
1.134	-2.366	0.000
1.135	-2.366	0.000
1.136	-2.366	0.000
1.137	-2.368	0.000
1.138	-2.371	0.000
1.139	-2.374	0.000
1.14	-2.378	0.000
1.141	-2.381	0.000
1.142	-2.384	0.000
1.143	-2.384	0.000
1.144	-2.384	0.000
1.145	-2.382	0.000
1.146	-2.380	0.000
1.147	-2.376	0.000
1.148	-2.373	0.000
1.149	-2.371	0.000
1.15	-2.368	0.000
1.151	-2.367	0.000
1.152	-2.367	0.000
1.153	-2.368	0.000
1.154	-2.371	0.000
1.155	-2.374	0.000
1.156	-2.377	0.000
1.157	-2.380	0.000
1.158	-2.382	0.000
1.159	-2.384	0.000
1.16	-2.384	0.000
1.161	-2.383	0.000
1.162	-2.381	0.000
1.163	-2.378	0.000
1.164	-2.374	0.000
1.165	-2.371	0.000
1.166	-2.368	0.000
1.167	-2.366	0.000
1.168	-2.365	0.000
1.169	-2.366	0.000
1.17	-2.368	0.000
1.171	-2.371	0.000
1.172	-2.374	0.000
1.173	-2.377	0.000
1.174	-2.381	0.000
1.175	-2.383	0.000
1.176	-2.384	0.000
1.177	-2.384	0.000
1.178	-2.382	0.000
1.179	-2.380	0.000
1.18	-2.377	0.000
1.181	-2.374	0.000
1.182	-2.370	0.000
1.183	-2.366	0.000
1.184	-2.364	0.000
1.185	-2.363	0.000
1.186	-2.364	0.000
1.187	-2.365	0.000
1.188	-2.367	0.000
1.189	-2.369	0.000
1.19	-2.373	0.000
1.191	-2.375	0.000
1.192	-2.376	0.000
1.193	-2.376	0.000
1.194	-2.376	0.000
1.195	-2.374	0.000
1.196	-2.371	0.000
1.197	-2.368	0.000
1.198	-2.365	0.000
1.199	-2.363	0.000
1.2	-2.361	0.000
1.201	-2.360	0.000
1.202	-2.361	0.000
1.203	-2.362	0.000
1.204	-2.365	0.000
1.205	-2.368	0.000
1.206	-2.372	0.000
1.207	-2.376	0.000
1.208	-2.379	0.000
1.209	-2.381	0.000
1.21	-2.381	0.000
1.211	-2.381	0.000
1.212	-2.378	0.000
1.213	-2.376	0.000
1.214	-2.372	0.000
1.215	-2.368	0.000
1.216	-2.366	0.000
1.217	-2.364	0.000
1.218	-2.363	0.000
1.219	-2.363	0.000
1.22	-2.364	0.000
1.221	-2.367	0.000
1.222	-2.369	0.000
1.223	-2.373	0.000
1.224	-2.376	0.000
1.225	-2.377	0.000
1.226	-2.379	0.000
1.227	-2.379	0.000
1.228	-2.378	0.000
1.229	-2.376	0.000
1.23	-2.373	0.000
