Interval=	0.001 s
ExcelDateTime=	4.1949665459635347e+004	11/6/2014 15:58:15.712494
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.367	-2.411	0.000
0.368	-2.417	0.000
0.369	-2.421	0.000
0.37	-2.424	0.000
0.371	-2.425	0.000
0.372	-2.423	0.000
0.373	-2.419	0.000
0.374	-2.414	0.000
0.375	-2.408	0.000
0.376	-2.401	0.000
0.377	-2.396	0.000
0.378	-2.393	0.000
0.379	-2.392	0.000
0.38	-2.393	0.000
0.381	-2.397	0.000
0.382	-2.402	0.000
0.383	-2.409	0.000
0.384	-2.416	0.000
0.385	-2.421	0.000
0.386	-2.426	0.000
0.387	-2.428	0.000
0.388	-2.428	0.000
0.389	-2.426	-0.000
0.39	-2.421	-0.000
0.391	-2.415	-0.001
0.392	-2.409	-0.001
0.393	-2.403	-0.001
0.394	-2.398	-0.001
0.395	-2.396	-0.001
0.396	-2.396	-0.001
0.397	-2.398	-0.001
0.398	-2.402	-0.000
0.399	-2.408	-0.001
0.4	-2.413	-0.001
0.401	-2.420	-0.001
0.402	-2.425	-0.001
0.403	-2.428	-0.001
0.404	-2.429	-0.001
0.405	-2.428	-0.001
0.406	-2.424	-0.001
0.407	-2.419	-0.001
0.408	-2.414	-0.001
0.409	-2.407	-0.001
0.41	-2.402	-0.001
0.411	-2.398	-0.001
0.412	-2.396	-0.001
0.413	-2.396	-0.001
0.414	-2.399	-0.001
0.415	-2.404	-0.001
0.416	-2.409	-0.001
0.417	-2.416	-0.001
0.418	-2.421	-0.001
0.419	-2.426	-0.001
0.42	-2.429	-0.001
0.421	-2.429	-0.001
0.422	-2.426	-0.001
0.423	-2.422	-0.001
0.424	-2.417	-0.001
0.425	-2.411	-0.001
0.426	-2.404	-0.001
0.427	-2.399	-0.001
0.428	-2.396	-0.001
0.429	-2.394	-0.001
0.43	-2.396	-0.001
0.431	-2.398	-0.001
0.432	-2.403	-0.001
0.433	-2.409	-0.001
0.434	-2.415	-0.001
0.435	-2.421	-0.001
0.436	-2.424	-0.001
0.437	-2.426	-0.001
0.438	-2.426	-0.001
0.439	-2.423	-0.001
0.44	-2.418	-0.001
0.441	-2.413	-0.001
0.442	-2.406	-0.001
0.443	-2.401	-0.001
0.444	-2.396	-0.001
0.445	-2.394	-0.001
0.446	-2.394	-0.001
0.447	-2.396	-0.001
0.448	-2.399	-0.001
0.449	-2.404	-0.001
0.45	-2.411	-0.001
0.451	-2.417	-0.001
0.452	-2.422	-0.000
0.453	-2.424	-0.000
0.454	-2.426	-0.001
0.455	-2.425	-0.001
0.456	-2.422	-0.001
0.457	-2.417	-0.001
0.458	-2.411	-0.001
0.459	-2.405	-0.001
0.46	-2.400	-0.001
0.461	-2.397	-0.001
0.462	-2.395	-0.001
0.463	-2.396	-0.001
0.464	-2.398	-0.001
0.465	-2.402	-0.001
0.466	-2.408	-0.001
0.467	-2.414	-0.001
0.468	-2.420	-0.001
0.469	-2.424	-0.001
0.47	-2.427	-0.001
0.471	-2.428	-0.001
0.472	-2.426	-0.000
0.473	-2.422	-0.000
0.474	-2.418	-0.000
0.475	-2.412	-0.000
0.476	-2.407	-0.001
0.477	-2.402	-0.001
0.478	-2.400	-0.001
0.479	-2.399	-0.001
0.48	-2.401	-0.001
0.481	-2.405	-0.001
0.482	-2.410	-0.001
0.483	-2.416	-0.001
0.484	-2.422	-0.001
0.485	-2.427	-0.001
0.486	-2.431	-0.001
0.487	-2.433	-0.001
0.488	-2.432	-0.001
0.489	-2.429	-0.001
0.49	-2.424	-0.001
0.491	-2.419	-0.001
0.492	-2.413	-0.001
0.493	-2.408	-0.000
0.494	-2.404	-0.000
0.495	-2.401	-0.000
0.496	-2.401	-0.000
0.497	-2.403	-0.000
0.498	-2.407	-0.001
0.499	-2.413	-0.001
0.5	-2.418	-0.001
0.501	-2.424	-0.001
0.502	-2.429	-0.001
0.503	-2.431	-0.001
0.504	-2.432	-0.001
0.505	-2.431	-0.001
0.506	-2.428	-0.001
0.507	-2.422	-0.001
0.508	-2.416	-0.001
0.509	-2.411	-0.001
0.51	-2.406	-0.001
0.511	-2.402	-0.001
0.512	-2.400	-0.001
0.513	-2.401	-0.001
0.514	-2.403	-0.001
0.515	-2.408	-0.000
0.516	-2.413	-0.000
0.517	-2.419	-0.000
0.518	-2.424	-0.000
0.519	-2.429	-0.000
0.52	-2.431	-0.001
0.521	-2.432	-0.001
0.522	-2.430	-0.001
0.523	-2.427	-0.001
0.524	-2.422	-0.001
0.525	-2.417	-0.001
0.526	-2.412	-0.001
0.527	-2.408	-0.001
0.528	-2.404	-0.001
0.529	-2.404	-0.001
0.53	-2.406	-0.001
0.531	-2.408	-0.001
0.532	-2.413	-0.001
0.533	-2.419	-0.001
0.534	-2.424	-0.001
0.535	-2.429	-0.001
0.536	-2.433	-0.001
0.537	-2.434	-0.000
0.538	-2.434	-0.000
0.539	-2.431	-0.000
0.54	-2.427	-0.000
0.541	-2.422	-0.000
0.542	-2.416	-0.001
0.543	-2.411	-0.001
0.544	-2.408	-0.001
0.545	-2.405	-0.001
0.546	-2.405	-0.001
0.547	-2.407	-0.001
0.548	-2.411	-0.001
0.549	-2.416	-0.001
0.55	-2.421	-0.001
0.551	-2.426	-0.001
0.552	-2.430	-0.001
0.553	-2.432	-0.001
0.554	-2.433	-0.001
0.555	-2.431	-0.001
0.556	-2.428	-0.001
0.557	-2.423	-0.001
0.558	-2.417	-0.001
0.559	-2.412	-0.000
0.56	-2.407	-0.000
0.561	-2.404	-0.000
0.562	-2.402	-0.000
0.563	-2.402	-0.000
0.564	-2.405	-0.001
0.565	-2.409	-0.001
0.566	-2.415	-0.001
0.567	-2.421	-0.001
0.568	-2.426	-0.001
0.569	-2.430	-0.001
0.57	-2.432	-0.001
0.571	-2.432	-0.001
0.572	-2.431	-0.001
0.573	-2.427	-0.001
0.574	-2.422	-0.001
0.575	-2.417	-0.001
0.576	-2.412	-0.001
0.577	-2.408	-0.001
0.578	-2.405	-0.001
0.579	-2.404	-0.001
0.58	-2.406	-0.000
0.581	-2.409	-0.000
0.582	-2.413	-0.000
0.583	-2.418	-0.000
0.584	-2.424	-0.000
0.585	-2.428	-0.000
0.586	-2.432	-0.001
0.587	-2.434	-0.001
0.588	-2.433	-0.001
0.589	-2.431	-0.001
0.59	-2.428	-0.001
0.591	-2.422	-0.001
0.592	-2.417	-0.001
0.593	-2.412	-0.001
0.594	-2.408	-0.001
0.595	-2.406	-0.001
0.596	-2.406	-0.001
0.597	-2.407	-0.001
0.598	-2.410	-0.001
0.599	-2.414	-0.001
0.6	-2.419	-0.001
0.601	-2.423	-0.001
0.602	-2.427	-0.001
0.603	-2.429	-0.000
0.604	-2.430	-0.000
0.605	-2.428	-0.000
0.606	-2.426	-0.000
0.607	-2.421	-0.000
0.608	-2.417	-0.001
