Frequency(Hz)	Channel 1(V)	
82.3975	0.00567508	
82.7026	0.00566037	
83.0078	0.0056385	
83.313	0.00562065	
83.6182	0.00560043	
83.9233	0.00558286	
84.2285	0.00555564	
84.5337	0.00554051	
84.8389	0.0055236	
85.144	0.00550577	
85.4492	0.00548361	
85.7544	0.00546817	
86.0596	0.00538171	
86.3647	0.0054166	
86.6699	0.00540716	
86.9751	0.0053877	
87.2803	0.00536893	
87.5854	0.00535375	
87.8906	0.00533496	
88.1958	0.00531508	
88.501	0.00530363	
88.8062	0.00528357	
89.1113	0.00527163	
89.4165	0.00525575	
89.7217	0.00524039	
90.0269	0.00523384	
90.332	0.00523404	
90.6372	0.0052332	
90.9424	0.00529409	
91.2476	0.00562415	
91.5527	0.00491882	
91.8579	0.00496294	
92.1631	0.00500206	
92.4683	0.00500882	
92.7734	0.00500317	
93.0786	0.00498824	
93.3838	0.00497742	
93.689	0.00496699	
93.9941	0.00495243	
94.2993	0.00493795	
94.6045	0.00492357	
94.9097	0.00490848	
95.2148	0.00489415	
95.52	0.00488155	
95.8252	0.00486691	
96.1304	0.00485499	
96.4355	0.00485518	
96.7407	0.00481382	
97.0459	0.00479821	
97.3511	0.00478708	
97.6563	0.00477284	
97.9614	0.00475796	
98.2666	0.00474319	
98.5718	0.00473024	
98.877	0.0047144	
99.1821	0.00470032	
99.4873	0.0046866	
99.7925	0.00467169	
100.098	0.0046615	
100.403	0.00463882	
100.708	0.00462912	
101.013	0.00461919	
101.318	0.00461183	
101.624	0.00459573	
101.929	0.00454812	
102.234	0.00476404	
102.539	0.00451043	
102.844	0.0045273	
103.149	0.00452327	
103.455	0.00450552	
103.76	0.00449029	
104.065	0.00446886	
104.37	0.00446189	
104.675	0.0044485	
104.98	0.00443606	
105.286	0.00442144	
105.591	0.00440612	
105.896	0.00439582	
106.201	0.00438154	
106.506	0.00436845	
106.812	0.00434912	
107.117	0.00433747	
107.422	0.00419397	
107.727	0.00438356	
108.032	0.00433249	
108.337	0.00431367	
108.643	0.00429432	
108.948	0.00428297	
109.253	0.00426944	
109.558	0.00425555	
109.863	0.00424134	
110.168	0.00422942	
110.474	0.00421454	
110.779	0.00420312	
111.084	0.00418311	
111.389	0.00417248	
111.694	0.00416428	
112	0.00414506	
112.305	0.00409992	
112.61	0.00407357	
112.915	0.00453914	
113.22	0.00417313	
113.525	0.00414576	
113.831	0.0041156	
114.136	0.00409838	
114.441	0.00408669	
114.746	0.0040646	
115.051	0.00405412	
115.356	0.00404491	
115.662	0.00402837	
115.967	0.00401772	
116.272	0.00400611	
116.577	0.0039946	
116.882	0.00397989	
117.188	0.0039637	
117.493	0.00394606	
117.798	0.00392171	
118.103	0.00381636	
118.408	0.00409127	
118.713	0.00397824	
119.019	0.00395203	
119.324	0.00393275	
119.629	0.00391848	
119.934	0.00390533	
120.239	0.00389075	
120.544	0.00388153	
120.85	0.00386822	
121.155	0.00385959	
121.46	0.00384659	
121.765	0.00384072	
122.07	0.00383446	
122.375	0.00382006	
122.681	0.00381303	
122.986	0.00380524	
123.291	0.0038469	
123.596	0.00397575	
123.901	0.00378661	
124.207	0.00375346	
124.512	0.00374783	
124.817	0.00373117	
125.122	0.00372458	
125.427	0.00371682	
125.732	0.0037048	
126.038	0.00369355	
126.343	0.00368214	
126.648	0.00367436	
126.953	0.00366809	
127.258	0.00365579	
127.563	0.00364497	
127.869	0.00363457	
128.174	0.00362568	
128.479	0.00360547	
128.784	0.00356547	
129.089	0.00370791	
129.395	0.00362977	
129.7	0.00360528	
130.005	0.0035939	
130.31	0.00358153	
130.615	0.00357443	
130.92	0.00356014	
131.226	0.00355055	
131.531	0.00354093	
131.836	0.0035293	
132.141	0.00352148	
132.446	0.00351048	
132.751	0.00350585	
133.057	0.00348875	
133.362	0.0034751	
133.667	0.00345567	
133.972	0.00344214	
134.277	0.00328023	
134.583	0.00366313	
134.888	0.0035212	
135.193	0.00349035	
135.498	0.00346231	
135.803	0.00345307	
136.108	0.00344315	
136.414	0.00343318	
136.719	0.00342062	
137.024	0.00341266	
137.329	0.00340325	
137.634	0.0033953	
137.939	0.0033829	
138.245	0.00337784	
138.55	0.00337105	
138.855	0.00336209	
139.16	0.00335389	
139.465	0.00333853	
139.771	0.00338203	
140.076	0.00333751	
140.381	0.00332284	
140.686	0.00331794	
140.991	0.00331121	
141.296	0.00330216	
141.602	0.00329147	
141.907	0.00328473	
142.212	0.00327765	
142.517	0.00326974	
142.822	0.00326091	
143.127	0.003252	
143.433	0.00324889	
143.738	0.00323801	
144.043	0.00322216	
144.348	0.00321505	
144.653	0.00321058	
144.958	0.0031933	
145.264	0.00341279	
145.569	0.00326332	
145.874	0.00321948	
146.179	0.00321143	
146.484	0.0031997	
146.79	0.00319244	
147.095	0.0031832	
147.4	0.00317402	
147.705	0.00316507	
148.01	0.00315975	
148.315	0.00315104	
148.621	0.00314419	
148.926	0.00313822	
149.231	0.0031302	
149.536	0.00312627	
149.841	0.00311755	
150.146	0.00310437	
150.452	0.00309044	
150.757	0.00309599	
151.062	0.00309407	
151.367	0.00308774	
151.672	0.00307991	
151.978	0.00307183	
152.283	0.00306551	
152.588	0.00305921	
152.893	0.00305234	
153.198	0.00304684	
153.503	0.0030401	
153.809	0.00303672	
154.114	0.00302795	
154.419	0.00302202	
154.724	0.00301718	
155.029	0.0030173	
155.334	0.00300891	
155.64	0.00298591	
155.945	0.00299378	
156.25	0.00299759	
156.555	0.00297424	
156.86	0.00297385	
157.166	0.00296884	
157.471	0.00296453	
157.776	0.00295539	
158.081	0.00294791	
158.386	0.00294465	
158.691	0.0029396	
158.997	0.00293281	
159.302	0.00292495	
159.607	0.00292262	
159.912	0.00291605	
160.217	0.00290933	
160.522	0.00290261	
160.828	0.00288948	
161.133	0.00287661	
161.438	0.00291145	
161.743	0.00289549	
162.048	0.00288396	
162.354	0.00287785	
162.659	0.00286951	
162.964	0.00286247	
163.269	0.00286014	
163.574	0.00285344	
163.879	0.00284591	
164.185	0.00284364	
164.49	0.00283494	
164.795	0.00282834	
165.1	0.00282512	
165.405	0.00282311	
165.71	0.00281537	
166.016	0.00280504	
166.321	0.00278944	
166.626	0.00296131	
166.931	0.00279705	
167.236	0.00278724	
167.542	0.00278498	
167.847	0.00278353	
168.152	0.00277412	
168.457	0.0027652	
168.762	0.00276224	
169.067	0.00275835	
169.373	0.00275339	
169.678	0.00274838	
169.983	0.00274253	
170.288	0.00273983	
170.593	0.00273434	
170.898	0.00272786	
171.204	0.00272126	
171.509	0.00270862	
171.814	0.00269685	
172.119	0.00273226	
172.424	0.00272572	
172.729	0.00271162	
173.035	0.00270198	
173.34	0.0026948	
173.645	0.00268992	
173.95	0.00268685	
174.255	0.00268116	
174.561	0.00267532	
174.866	0.00267158	
175.171	0.00266446	
175.476	0.00265909	
175.781	0.00266135	
176.086	0.0026552	
176.392	0.00265663	
176.697	0.0026482	
177.002	0.00264874	
177.307	0.00271114	
177.612	0.00261051	
177.917	0.00261481	
178.223	0.00261693	
178.528	0.00260618	
178.833	0.00260125	
179.138	0.00259381	
179.443	0.00259363	
179.749	0.00259008	
180.054	0.00258729	
180.359	0.002582	
180.664	0.0025775	
180.969	0.00257286	
181.274	0.00256866	
181.58	0.00256433	
181.885	0.00255764	
182.19	0.00255032	
182.495	0.0025447	
182.8	0.00257525	
183.105	0.00256746	
183.411	0.0025512	
183.716	0.0025411	
184.021	0.00253662	
184.326	0.0025327	
184.631	0.0025257	
184.937	0.00252193	
185.242	0.00251719	
185.547	0.0025122	
185.852	0.00251015	
186.157	0.00250353	
186.462	0.0025021	
186.768	0.00249757	
187.073	0.00249178	
187.378	0.0024818	
187.683	0.00247234	
187.988	0.00247341	
188.293	0.00253714	
188.599	0.00248763	
188.904	0.00248086	
189.209	0.00246953	
189.514	0.00246147	
189.819	0.00245534	
190.125	0.00245736	
190.43	0.00245182	
190.735	0.00244363	
191.04	0.00244307	
191.345	0.00243781	
191.65	0.00243606	
191.956	0.00243211	
192.261	0.00242728	
192.566	0.00242518	
192.871	0.00242113	
193.176	0.00242252	
193.481	0.0024648	
193.787	0.00239814	
194.092	0.00239967	
194.397	0.00239796	
194.702	0.00239407	
195.007	0.00239008	
195.313	0.00238589	
195.618	0.00238318	
195.923	0.00238002	
