Frequency(Hz)	Channel 1(V)	
0	0.314698	
0.488281	0.0073472	
0.976563	0.00695392	
1.46484	0.00631043	
1.95313	0.00851333	
2.44141	0.0103405	
2.92969	0.0124706	
3.41797	0.0152741	
3.90625	0.0214553	
4.39453	0.0329735	
4.88281	0.0636301	
5.37109	3.35925	
5.85938	0.069377	
6.34766	0.0362807	
6.83594	0.0241617	
7.32422	0.0180817	
7.8125	0.0150209	
8.30078	0.012938	
8.78906	0.0108837	
9.27734	0.00921236	
9.76563	0.00915387	
10.2539	0.00943477	
10.7422	0.113934	
11.2305	0.00807428	
11.7188	0.00654179	
12.207	0.00595024	
12.6953	0.00568643	
13.1836	0.00526743	
13.6719	0.00512962	
14.1602	0.00496724	
14.6484	0.00484693	
15.1367	0.00487454	
15.625	0.00535279	
16.1133	0.0395928	
16.6016	0.00354911	
17.0898	0.0032341	
17.5781	0.00328808	
18.0664	0.00320558	
18.5547	0.00318401	
19.043	0.0031261	
19.5313	0.00300047	
20.0195	0.00300806	
20.5078	0.00292775	
20.9961	0.00309591	
21.4844	0.01901	
21.9727	0.00301979	
22.4609	0.00266168	
22.9492	0.0025276	
23.4375	0.00246171	
23.9258	0.00240539	
24.4141	0.00234712	
24.9023	0.00230525	
25.3906	0.00225575	
25.8789	0.00221144	
26.3672	0.00220692	
26.8555	0.00541149	
27.3438	0.00211574	
27.832	0.00204862	
28.3203	0.00198657	
28.8086	0.00195744	
29.2969	0.00192164	
29.7852	0.00187275	
30.2734	0.00186129	
30.7617	0.00184436	
31.25	0.00182445	
31.7383	0.00184718	
32.2266	0.00459553	
32.7148	0.00170478	
33.2031	0.0016426	
33.6914	0.00163003	
34.1797	0.0015848	
34.668	0.00154899	
35.1563	0.00152701	
35.6445	0.00150434	
36.1328	0.00146082	
36.6211	0.00141828	
37.1094	0.00139521	
37.5977	0.00587535	
38.0859	0.00202501	
38.5742	0.00166947	
39.0625	0.0015549	
39.5508	0.00149753	
40.0391	0.00145679	
40.5273	0.00142712	
41.0156	0.00139791	
41.5039	0.00136582	
41.9922	0.00135555	
42.4805	0.00134039	
42.9688	0.00202697	
43.457	0.00138897	
43.9453	0.00131899	
44.4336	0.00129512	
44.9219	0.00127942	
45.4102	0.00127322	
45.8984	0.00125552	
46.3867	0.00123523	
46.875	0.00125418	
47.3633	0.00128687	
47.8516	0.00144598	
48.3398	0.00522766	
48.8281	0.00150711	
49.3164	0.00118638	
49.8047	0.00113387	
50.293	0.00110753	
50.7813	0.00110253	
51.2695	0.00109296	
51.7578	0.00107646	
52.2461	0.00106507	
52.7344	0.00106136	
53.2227	0.00107011	
53.7109	0.00153682	
54.1992	0.0010482	
54.6875	0.00101954	
55.1758	0.00100841	
55.6641	0.00100243	
56.1523	0.000999215	
56.6406	0.000992973	
57.1289	0.000996185	
57.6172	0.00100004	
58.1055	0.00102448	
58.5938	0.00114697	
59.082	0.00367029	
59.5703	0.00135465	
60.0586	0.000985293	
60.5469	0.000939995	
61.0352	0.000926437	
61.5234	0.000906881	
62.0117	0.000890869	
62.5	0.000886757	
62.9883	0.000885902	
63.4766	0.000874633	
63.9648	0.000865605	
64.4531	0.00115744	
64.9414	0.000893761	
65.4297	0.000862931	
65.918	0.000850315	
66.4063	0.00084524	
66.8945	0.000835047	
67.3828	0.000840073	
67.8711	0.000847349	
68.3594	0.000852793	
68.8477	0.000890378	
