Frequency(Hz)	Channel 1(V)	
0	0.230578	
0.0488281	0.105305	
0.0976563	0.0722676	
0.146484	0.0300044	
0.195313	0.00746944	
0.244141	0.0268922	
0.292969	0.0270434	
0.341797	0.0128261	
0.390625	0.006597	
0.439453	0.0187625	
0.488281	0.019668	
0.537109	0.0101692	
0.585938	0.00569557	
0.634766	0.015961	
0.683594	0.0182157	
0.732422	0.00974536	
0.78125	0.00597091	
0.830078	0.0139469	
0.878906	0.0169029	
0.927734	0.0112507	
0.976563	0.00491256	
1.02539	0.0128328	
1.07422	0.0170763	
1.12305	0.0119514	
1.17188	0.00466452	
1.2207	0.0118214	
1.26953	0.0167891	
1.31836	0.0129605	
1.36719	0.00556427	
1.41602	0.0100707	
1.46484	0.0161644	
1.51367	0.0153252	
1.5625	0.00721969	
1.61133	0.00806788	
1.66016	0.0156723	
1.70898	0.0166068	
1.75781	0.00843649	
1.80664	0.00636136	
1.85547	0.0150169	
1.9043	0.0176319	
1.95313	0.0113442	
2.00195	0.00555025	
2.05078	0.0139494	
2.09961	0.0183671	
2.14844	0.0145287	
2.19727	0.00504349	
2.24609	0.0119653	
2.29492	0.01902	
2.34375	0.0164124	
2.39258	0.00726036	
2.44141	0.00993014	
2.49023	0.019484	
2.53906	0.018676	
2.58789	0.0107473	
2.63672	0.00761517	
2.68555	0.0185358	
2.73438	0.0210842	
2.7832	0.0141874	
2.83203	0.00490117	
2.88086	0.0169475	
2.92969	0.0236246	
2.97852	0.0179942	
3.02734	0.00439741	
3.07617	0.014736	
3.125	0.0244334	
3.17383	0.0220117	
3.22266	0.00880525	
3.27148	0.0121976	
3.32031	0.0246215	
3.36914	0.0262841	
3.41797	0.0138929	
3.4668	0.00775732	
3.51563	0.0243724	
3.56445	0.0300152	
3.61328	0.0195951	
3.66211	0.00459537	
3.71094	0.022704	
3.75977	0.0346939	
3.80859	0.0263576	
3.85742	0.0080554	
3.90625	0.019705	
3.95508	0.0359896	
4.00391	0.0352042	
4.05273	0.0161351	
4.10156	0.014235	
4.15039	0.0388109	
4.19922	0.0449359	
4.24805	0.0263957	
4.29688	0.00717807	
4.3457	0.0412152	
4.39453	0.053757	
4.44336	0.0406725	
4.49219	0.00618603	
4.54102	0.0418293	
4.58984	0.0647624	
4.63867	0.0624764	
4.6875	0.0202929	
4.73633	0.0381748	
4.78516	0.0840767	
4.83398	0.0879722	
4.88281	0.0486491	
4.93164	0.0280424	
4.98047	0.109307	
5.0293	0.146938	
5.07813	0.114734	
5.12695	0.0174779	
5.17578	0.173698	
5.22461	0.335596	
5.27344	0.38424	
5.32227	0.12615	
5.37109	2.43385	
5.41992	1.35728	
5.46875	0.525884	
5.51758	0.14357	
5.56641	0.0920418	
5.61523	0.200255	
5.66406	0.173606	
5.71289	0.0907088	
5.76172	0.0186171	
5.81055	0.0909183	
5.85938	0.10947	
5.9082	0.0725846	
5.95703	0.00874109	
6.00586	0.0501178	
6.05469	0.0741328	
6.10352	0.0598483	
6.15234	0.0217117	
6.20117	0.0278654	
6.25	0.0521941	
6.29883	0.0537876	
6.34766	0.0265281	
6.39648	0.0121418	
6.44531	0.037929	
6.49414	0.0459896	
6.54297	0.0292726	
6.5918	0.00387507	
6.64063	0.026515	
6.68945	0.0389972	
6.73828	0.031152	
6.78711	0.00901788	
6.83594	0.0174795	
6.88477	0.0320306	
6.93359	0.0310436	
6.98242	0.0131067	
7.03125	0.00913977	
7.08008	0.0252766	
7.12891	0.0295111	
7.17773	0.0173598	
7.22656	0.00383758	
7.27539	0.0194713	
7.32422	0.0263065	
7.37305	0.0195882	
7.42188	0.00524884	
7.4707	0.0139054	
7.51953	0.0228429	
7.56836	0.0206909	
7.61719	0.00861001	
7.66602	0.00863302	
7.71484	0.0195698	
7.76367	0.0203201	
7.8125	0.0117609	
7.86133	0.0047256	
7.91016	0.0155096	
7.95898	0.0194014	
8.00781	0.014437	
8.05664	0.0036051	
8.10547	0.0115499	
8.1543	0.0174607	
8.20313	0.0159066	
8.25195	0.00609664	
8.30078	0.00749875	
8.34961	0.0154207	
8.39844	0.0163801	
8.44727	0.0088921	
8.49609	0.00409302	
8.54492	0.0130722	
8.59375	0.0155892	
8.64258	0.0110484	
8.69141	0.00337046	
8.74023	0.0100016	
8.78906	0.0148124	
8.83789	0.0122851	
8.88672	0.0049778	
8.93555	0.00717151	
8.98438	0.0134857	
9.0332	0.0127763	
9.08203	0.00720368	
9.13086	0.00456915	
9.17969	0.0114828	
9.22852	0.0127257	
9.27734	0.00911361	
9.32617	0.00347462	
9.375	0.00886381	
9.42383	0.0126424	
9.47266	0.0101863	
9.52148	0.00450891	
9.57031	0.0063704	
9.61914	0.0114895	
9.66797	0.011117	
9.7168	0.00658337	
9.76563	0.00440032	
9.81445	0.00972355	
9.86328	0.011599	
9.91211	0.00849509	
9.96094	0.00389894	
10.0098	0.00761288	
10.0586	0.011208	
10.1074	0.0101245	
10.1563	0.00531069	
10.2051	0.00560539	
10.2539	0.0104252	
10.3027	0.0111365	
10.3516	0.00790972	
10.4004	0.00410913	
10.4492	0.00837089	
10.498	0.0128763	
10.5469	0.012584	
10.5957	0.00930792	
10.6445	0.00590567	
10.6934	0.0194204	
10.7422	0.0747	
10.791	0.0644512	
10.8398	0.0161059	
10.8887	0.00753544	
10.9375	0.00183343	
10.9863	0.00558766	
11.0352	0.00787836	
11.084	0.00860797	
11.1328	0.00523655	
11.1816	0.000238457	
11.2305	0.00543	
11.2793	0.00808321	
11.3281	0.00680145	
11.377	0.00265104	
11.4258	0.00316697	
11.4746	0.00687797	
11.5234	0.00766649	
11.5723	0.00446676	
11.6211	0.00152157	
11.6699	0.00579956	
11.7188	0.0074891	
11.7676	0.00572971	
11.8164	0.00187675	
11.8652	0.00418971	
11.9141	0.00706639	
11.9629	0.00652816	
12.0117	0.00316362	
12.0605	0.00274396	
12.1094	0.00630194	
12.1582	0.00687077	
12.207	0.0043626	
12.2559	0.00181155	
12.3047	0.00526097	
12.3535	0.00677423	
12.4023	0.00534508	
12.4512	0.00198176	
12.5	0.0039545	
12.5488	0.00653631	
12.5977	0.00591648	
12.6465	0.00290502	
12.6953	0.00284578	
12.7441	0.00585925	
12.793	0.00619944	
12.8418	0.00392762	
12.8906	0.00202509	
12.9395	0.00484106	
12.9883	0.00624624	
13.0371	0.00484034	
13.0859	0.00201425	
13.1348	0.00392126	
13.1836	0.00597756	
13.2324	0.00534854	
13.2813	0.00268584	
13.3301	0.0028677	
13.3789	0.00540421	
13.4277	0.00576315	
13.4766	0.00351895	
13.5254	0.00210517	
13.5742	0.00472431	
13.623	0.00581781	
13.6719	0.00424233	
13.7207	0.00185341	
13.7695	0.00381368	
13.8184	0.00564353	
13.8672	0.00488121	
13.916	0.00231307	
13.9648	0.00296742	
14.0137	0.00520099	
14.0625	0.00528059	
14.1113	0.00307983	
14.1602	0.00211673	
14.209	0.00456397	
14.2578	0.00542135	
14.3066	0.00383893	
14.3555	0.00177452	
14.4043	0.00385854	
14.4531	0.00529598	
14.502	0.00439819	
14.5508	0.00212219	
14.5996	0.00293115	
14.6484	0.00496651	
14.6973	0.00488507	
14.7461	0.00271121	
14.7949	0.00217957	
14.8438	0.00446961	
14.8926	0.00503477	
14.9414	0.00342977	
14.9902	0.00165943	
15.0391	0.00377966	
15.0879	0.00503961	
15.1367	0.00409525	
15.1855	0.00176663	
15.2344	0.00301272	
15.2832	0.00482092	
15.332	0.0045832	
15.3809	0.00237598	
15.4297	0.00218631	
15.4785	0.00443893	
15.5273	0.00489316	
15.5762	0.00311845	
15.625	0.00149592	
15.6738	0.00393512	
15.7227	0.00514495	
15.7715	0.0039213	
15.8203	0.0012042	
15.8691	0.00342969	
15.918	0.00574715	
15.9668	0.00522202	
16.0156	0.00122471	
16.0645	0.00577247	
16.1133	0.0177491	
16.1621	0.0242589	
16.2109	0.00364853	
16.2598	0.00489592	
16.3086	0.00439733	
16.3574	0.00364241	
16.4063	0.00323615	
16.4551	0.00251892	
16.5039	0.00338318	
16.5527	0.00399419	
16.6016	0.00331018	
16.6504	0.0023832	
16.6992	0.00278736	
16.748	0.00395342	
16.7969	0.00368016	
16.8457	0.002524	
16.8945	0.00222823	
16.9434	0.00354214	
16.9922	0.00390102	
17.041	0.00275842	
17.0898	0.0020688	
17.1387	0.00302889	
17.1875	0.00389772	
17.2363	0.00314579	
17.2852	0.00205867	
17.334	0.00256282	
17.3828	0.00366734	
17.4316	0.00345035	
17.4805	0.00226872	
17.5293	0.00221237	
17.5781	0.00340306	
17.627	0.00359179	
17.6758	0.00260065	
17.7246	0.00196031	
17.7734	0.00299021	
17.8223	0.00370555	
17.8711	0.00295549	
17.9199	0.0019512	
17.9688	0.00261906	
18.0176	0.00353619	
18.0664	0.00327182	
18.1152	0.00212271	
18.1641	0.00215634	
18.2129	0.00331491	
18.2617	0.00350236	
18.3105	0.0024281	
18.3594	0.00191688	
18.4082	0.00290809	
18.457	0.00353645	
18.5059	0.00277894	
18.5547	0.00176566	
18.6035	0.0025124	
18.6523	0.00347325	
18.7012	0.00306024	
18.75	0.00189969	
18.7988	0.00219576	
18.8477	0.00324247	
18.8965	0.00326948	
18.9453	0.00215461	
18.9941	0.00184641	
19.043	0.00295918	
19.0918	0.00333416	
19.1406	0.00249937	
19.1895	0.0017103	
19.2383	0.00267186	
19.2871	0.00320413	
19.3359	0.00286334	
19.3848	0.00176163	
19.4336	0.00219642	
19.4824	0.00313446	
19.5313	0.00308919	
19.5801	0.00202631	
19.6289	0.00183717	
19.6777	0.00288557	
19.7266	0.00319424	
19.7754	0.00236851	
19.8242	0.00160069	
19.873	0.00257703	
19.9219	0.00315216	
19.9707	0.00270563	
20.0195	0.00159589	
20.0684	0.00218146	
20.1172	0.00307149	
20.166	0.00286277	
20.2148	0.00184207	
20.2637	0.00179544	
20.3125	0.00287326	
20.3613	0.0029857	
20.4102	0.00211313	
20.459	0.00151666	
20.5078	0.00259689	
20.5566	0.0030324	
20.6055	0.00237072	
20.6543	0.00143222	
20.7031	0.00221728	
20.752	0.00306019	
20.8008	0.00258577	
20.8496	0.00153241	
20.8984	0.00184716	
20.9473	0.00293682	
20.9961	0.00277091	
21.0449	0.00179014	
21.0938	0.00142659	
21.1426	0.00264659	
21.1914	0.00293729	
21.2402	0.00201801	
