Frequency(Hz)	Channel 1(V)	
10.5078	0.00898223	
10.5469	0.00268848	
10.5859	0.0103923	
10.625	0.00291361	
10.6641	0.0141325	
10.7031	0.00373128	
10.7422	0.0355563	
10.7813	0.0597664	
10.8203	0.0385213	
10.8594	0.0017854	
10.8984	0.013601	
10.9375	0.00299425	
10.9766	0.00955256	
11.0156	0.00352006	
11.0547	0.00815517	
11.0938	0.00370635	
11.1328	0.00734984	
11.1719	0.00385713	
11.2109	0.00676292	
11.25	0.00404351	
11.2891	0.00626131	
11.3281	0.00425247	
11.3672	0.00586344	
11.4063	0.00452374	
11.4453	0.00564409	
11.4844	0.00458676	
11.5234	0.00526395	
11.5625	0.00481263	
11.6016	0.00499293	
11.6406	0.00497994	
11.6797	0.00468994	
11.7188	0.00506007	
11.7578	0.00442764	
11.7969	0.00515999	
11.8359	0.00414924	
11.875	0.00523534	
11.9141	0.00382452	
11.9531	0.00536109	
11.9922	0.00356372	
12.0313	0.00543418	
12.0703	0.00338558	
12.1094	0.00523413	
12.1484	0.00269539	
12.1875	0.00573913	
12.2266	0.0027538	
12.2656	0.0056838	
12.3047	0.00254058	
12.3438	0.00566567	
12.3828	0.00225192	
12.4219	0.00574619	
12.4609	0.00203312	
12.5	0.00573466	
12.5391	0.00182617	
12.5781	0.00575695	
12.6172	0.00172876	
12.6563	0.00570942	
12.6953	0.00158162	
12.7344	0.00566529	
12.7734	0.00148128	
12.8125	0.00562545	
12.8516	0.00151761	
12.8906	0.00557468	
12.9297	0.00162964	
12.9688	0.00542678	
13.0078	0.00256515	
13.0469	0.00728194	
13.0859	0.0011029	
13.125	0.00551567	
13.1641	0.00144593	
13.2031	0.0053458	
13.2422	0.00171726	
13.2813	0.00521203	
13.3203	0.00196265	
13.3594	0.00515169	
13.3984	0.00211579	
13.4375	0.00505655	
13.4766	0.00236065	
13.5156	0.00489476	
13.5547	0.00244104	
13.5938	0.00474701	
13.6328	0.00262704	
13.6719	0.00457176	
13.7109	0.00285332	
13.75	0.00443062	
13.7891	0.00302768	
13.8281	0.00428643	
13.8672	0.0032008	
13.9063	0.00414408	
13.9453	0.0033396	
13.9844	0.00398921	
14.0234	0.00351649	
14.0625	0.00381948	
14.1016	0.00365886	
14.1406	0.00364624	
14.1797	0.00380616	
14.2188	0.00350512	
14.2578	0.00390091	
14.2969	0.00331717	
14.3359	0.00400874	
14.375	0.00311119	
14.4141	0.0041179	
14.4531	0.00295077	
14.4922	0.00423872	
14.5313	0.00279778	
14.5703	0.0043022	
14.6094	0.00261179	
14.6484	0.00439167	
14.6875	0.00243346	
14.7266	0.0044733	
14.7656	0.00224483	
14.8047	0.00458169	
14.8438	0.00220919	
14.8828	0.00459606	
14.9219	0.00200887	
14.9609	0.0046598	
15	0.0018812	
15.0391	0.00467884	
15.0781	0.00176873	
15.1172	0.00473082	
15.1563	0.00167604	
15.1953	0.00477479	
15.2344	0.00159942	
15.2734	0.00480529	
15.3125	0.00157815	
15.3516	0.00481831	
15.3906	0.00155741	
15.4297	0.00486053	
15.4688	0.00158317	
15.5078	0.00490994	
15.5469	0.00160557	
15.5859	0.00496336	
15.625	0.00168904	
15.6641	0.00504232	
15.7031	0.0017658	
15.7422	0.00516166	
15.7813	0.00182514	
15.8203	0.00529813	
15.8594	0.00193971	
15.8984	0.00557754	
15.9375	0.00205179	
15.9766	0.00625355	
16.0156	0.00201492	
16.0547	0.00784189	
16.0938	0.00174109	
16.1328	0.0151011	
16.1719	0.0173136	
16.2109	0.00921854	
16.25	0.00287079	
16.2891	0.000757329	
16.3281	0.00269442	
16.3672	0.00109895	
16.4063	0.00280779	
16.4453	0.00148956	
16.4844	0.00296187	
16.5234	0.00174889	
16.5625	0.00304022	
16.6016	0.00188881	
16.6406	0.00305444	
16.6797	0.00193536	
16.7188	0.00317364	
16.7578	0.00193333	
16.7969	0.00325066	
16.8359	0.00185385	
16.875	0.00334243	
16.9141	0.00185012	
16.9531	0.00335653	
16.9922	0.0017864	
17.0313	0.00334402	
17.0703	0.00166254	
17.1094	0.00356987	
17.1484	0.00168122	
17.1875	0.00356114	
17.2266	0.00161508	
17.2656	0.00359935	
17.3047	0.00161616	
17.3438	0.00359196	
17.3828	0.00158765	
17.4219	0.00359907	
17.4609	0.00156465	
17.5	0.00353863	
17.5391	0.00175102	
17.5781	0.00367887	
17.6172	0.00162474	
17.6563	0.00362258	
17.6953	0.00166053	
17.7344	0.00361092	
17.7734	0.0017677	
17.8125	0.00353903	
17.8516	0.00187396	
17.8906	0.00355282	
17.9297	0.00199981	
