Frequency(Hz)	Channel 1(V)	
1.28906	0.0010724	
1.29395	0.001059	
1.29883	0.00103437	
1.30371	0.00100064	
1.30859	0.000961556	
1.31348	0.000921993	
1.31836	0.00088732	
1.32324	0.000862393	
1.32813	0.000850439	
1.33301	0.000852262	
1.33789	0.000866233	
1.34277	0.000889111	
1.34766	0.0009172	
1.35254	0.000947297	
1.35742	0.000977156	
1.3623	0.00100552	
1.36719	0.00103184	
1.37207	0.00105586	
1.37695	0.00107724	
1.38184	0.00109527	
1.38672	0.00110878	
1.3916	0.00111631	
1.39648	0.00111638	
1.40137	0.00110793	
1.40625	0.00109073	
1.41113	0.00106576	
1.41602	0.00103543	
1.4209	0.0010036	
1.42578	0.000975229	
1.43066	0.000955483	
1.43555	0.000948433	
1.44043	0.000955654	
1.44531	0.000975499	
1.4502	0.00100347	
1.45508	0.0010335	
1.45996	0.00105936	
1.46484	0.00107583	
1.46973	0.00107948	
1.47461	0.00106904	
1.47949	0.00104569	
1.48438	0.00101305	
1.48926	0.000976957	
1.49414	0.000944809	
1.49902	0.000924077	
1.50391	0.000920185	
1.50879	0.000934471	
1.51367	0.000963577	
1.51855	0.0010007	
1.52344	0.00103781	
1.52832	0.00106759	
1.5332	0.00108463	
1.53809	0.00108611	
1.54297	0.001072	
1.54785	0.00104516	
1.55273	0.00101118	
1.55762	0.000977782	
1.5625	0.000953509	
1.56738	0.000945498	
1.57227	0.000956959	
1.57715	0.000985811	
1.58203	0.00102551	
1.58691	0.00106736	
1.5918	0.00110293	
1.59668	0.00112556	
1.60156	0.00113124	
1.60645	0.00111894	
1.61133	0.00109079	
1.61621	0.00105197	
1.62109	0.00101038	
1.62598	0.000975533	
1.63086	0.000956404	
1.63574	0.000958447	
1.64063	0.000981266	
1.64551	0.0010187	
1.65039	0.00106125	
1.65527	0.00109899	
1.66016	0.00112375	
1.66504	0.00113012	
1.66992	0.00111604	
1.6748	0.00108303	
1.67969	0.00103629	
1.68457	0.000984655	
1.68945	0.000939723	
1.69434	0.00091361	
1.69922	0.00091482	
1.7041	0.000944213	
1.70898	0.000994454	
1.71387	0.0010534	
1.71875	0.00110834	
1.72363	0.00114869	
1.72852	0.00116716	
1.7334	0.00116016	
1.73828	0.00112797	
1.74316	0.00107494	
1.74805	0.00100969	
1.75293	0.000945013	
1.75781	0.000896505	
1.7627	0.000878456	
1.76758	0.00089735	
1.77246	0.000947981	
1.77734	0.00101644	
1.78223	0.00108649	
1.78711	0.00114411	
1.79199	0.00117916	
1.79688	0.00118581	
1.80176	0.00116253	
1.80664	0.00111225	
1.81152	0.0010427	
1.81641	0.000966737	
1.82129	0.00090201	
1.82617	0.000867779	
1.83105	0.000877134	
